league,split,patch,t1_playerid,t1_result,t2_playerid,t1_ban1,t1_ban2,t1_ban3,t1_ban4,t1_ban5,t2_ban1,t2_ban2,t2_ban3,t2_ban4,t2_ban5,t1p1_champion,t1p2_champion,t1p3_champion,t1p4_champion,t1p5_champion,t2p1_champion,t2p2_champion,t2p3_champion,t2p4_champion,t2p5_champion
LCS.A,Spring,10.01,Evil Geniuses Academy,0,Dignitas Academy,Irelia,Mordekaiser,Tahm Kench,Ryze,Orianna,Akali,Rumble,Lucian,Pantheon,Renekton,Nautilus,Aphelios,Ornn,Lee Sin,Kennen,Thresh,Miss Fortune,Zoe,Elise,Aatrox
LCS.A,Spring,10.01,Cloud9 Academy,1,Team Liquid Academy,Kennen,Qiyana,Irelia,Nautilus,LeBlanc,Akali,Lucian,Elise,Ryze,Pantheon,Thresh,Varus,Rumble,Rek'Sai,Ornn,Leona,Aphelios,Cassiopeia,Jarvan IV,Mordekaiser
LCS.A,Spring,10.01,TSM Academy,0,Immortals Academy,Elise,Ornn,Mordekaiser,Senna,Miss Fortune,Rumble,Akali,Lucian,Cassiopeia,Zoe,Leona,Aphelios,LeBlanc,Gragas,Aatrox,Braum,Ezreal,Nautilus,Lee Sin,Urgot
LCS.A,Spring,10.01,FlyQuest Academy,1,CLG Academy,Elise,Lucian,Aphelios,Mordekaiser,Ryze,Akali,Cassiopeia,Senna,Varus,Fiora,Thresh,Kai'Sa,Rumble,Qiyana,Aatrox,Nautilus,Miss Fortune,Orianna,Jarvan IV,Ornn
LCS.A,Spring,10.01,Golden Guardians Academy,1,100 Thieves Academy,Elise,Qiyana,Pantheon,Ornn,Cassiopeia,Akali,Rumble,Lucian,Mordekaiser,Lissandra,Braum,Aphelios,Ryze,Lee Sin,Aatrox,Tahm Kench,Senna,LeBlanc,Rek'Sai,Camille
LCS,Spring,10.01,Cloud9,1,Team Liquid,Irelia,Ornn,Lucian,Ekko,Orianna,Akali,Qiyana,Rumble,Zoe,LeBlanc,Tahm Kench,Aphelios,Veigar,Lee Sin,Aatrox,Thresh,Senna,Azir,Jarvan IV,Mordekaiser
LCS,Spring,10.01,Counter Logic Gaming,0,Dignitas,Irelia,Qiyana,Gangplank,Aphelios,Varus,Akali,Lucian,Rumble,LeBlanc,Kennen,Leona,Senna,Cassiopeia,Rek'Sai,Ornn,Tahm Kench,Ashe,Viktor,Elise,Renekton
LCS,Spring,10.01,100 Thieves,1,Golden Guardians,Qiyana,Rumble,Senna,Vladimir,Lee Sin,Akali,Lucian,Aphelios,Lissandra,Elise,Leona,Miss Fortune,Zoe,Gragas,Gangplank,Braum,Varus,LeBlanc,Jarvan IV,Ornn
LCS,Spring,10.01,Immortals,0,FlyQuest,Rumble,Elise,Braum,Camille,Tahm Kench,Akali,Ornn,Qiyana,LeBlanc,Gragas,Thresh,Cassiopeia,Lucian,Trundle,Aatrox,Blitzcrank,Senna,Viktor,Lee Sin,Riven
LCS.A,Spring,10.01,Golden Guardians Academy,1,Cloud9 Academy,Elise,Qiyana,Irelia,Thresh,Cassiopeia,Akali,Lucian,Rumble,Yasuo,LeBlanc,Braum,Aphelios,Viktor,Lee Sin,Mordekaiser,Zilean,Miss Fortune,Orianna,Olaf,Ornn
