"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Jungle",1,"1.3%","6.5%","36.4%","100%","-",1,1,9,10,"62.5%","20.0%","0%",-1020,-812,-26,1.2,"3.2%",98,"4.1%","12.0%",1.43,0.39
"Alistar","Support",22,"28.6%","6.5%","36.4%","64%","-",13,59,186,3.4,"71.8%","23.2%","41%",-25,-66,4.5,1,"3.1%",120,"6.1%","10.9%",1.41,0.32
"Anivia","Middle",1,"1.3%","1.3%","2.6%","100%","-",2,2,5,3.5,"70.0%","40.0%","100%",708,822,13,7.5,"20.7%",560,"24.9%","20.8%",0.72,0.12
"Ashe","ADC",11,"14.3%","5.2%","19.5%","64%","-",33,26,61,3.6,"64.8%","19.3%","18%",103,-50,2.3,9.3,"29.8%",453,"22.2%","24.3%",0.4,0.24
"Aurelion Sol","Middle",12,"15.6%","26.0%","41.6%","67%","-",59,30,80,4.6,"76.8%","20.4%","42%",83,-22,-1.7,7.6,"25.0%",531,"25.2%","22.0%",0.51,0.18
"Bard","Support",12,"15.6%","6.5%","22.1%","25%","-",12,47,71,1.8,"64.3%","23.4%","17%",-76,214,-2.8,0.7,"2.9%",189,"9.9%","11.8%",1.33,0.41
"Brand","Support",1,"1.3%","10.4%","11.7%","100%","-",3,1,4,7,"70.0%","20.0%","0%",107,127,1,0.8,"3.7%",551,"24.6%","15.1%",1.26,0.47
"Braum","Support",16,"20.8%","0.0%","20.8%","38%","-",10,38,95,2.8,"61.4%","20.9%","13%",-35,-110,4.8,1.2,"3.9%",146,"7.6%","10.7%",1.41,0.35
"Caitlyn","ADC",34,"44.2%","19.5%","63.6%","47%","-",93,74,143,3.2,"61.5%","17.5%","18%",26,1,4,9.5,"31.8%",511,"26.5%","25.1%",0.38,0.31
"Cassiopeia","Middle",22,"28.6%","7.8%","36.4%","36%","-",67,60,84,2.5,"62.1%","21.1%","18%",-33,-153,0,8.4,"26.5%",426,"22.5%","23.1%",0.51,0.17
"Ekko","Top",10,"13.0%","1.3%","14.3%","50%","-",30,23,43,3.2,"61.3%","18.0%","0%",-383,-264,-12.2,8.2,"27.1%",387,"19.0%","22.1%",0.47,0.1
"Elise","Jungle",29,"37.7%","27.3%","64.9%","34%","-",64,75,143,2.8,"65.5%","20.5%","45%",-68,-177,-4.1,4,"13.4%",340,"16.2%","19.3%",0.81,0.49
"Ezreal","ADC",32,"41.6%","9.1%","50.6%","34%","-",122,71,117,3.4,"67.7%","15.9%","28%",17,42,-1.7,8.6,"28.9%",704,"32.5%","24.5%",0.39,0.21
"Fiora","Top",1,"1.3%","0.0%","1.3%","0%","-",5,7,5,1.4,"66.7%","28.0%","100%",-60,-390,0,7.6,"29.2%",352,"17.3%","24.3%",0.46,0.06
"Gnar","Top",18,"23.4%","15.6%","39.0%","39%","-",37,47,73,2.3,"47.8%","18.6%","11%",-164,12,-2.9,7.8,"25.6%",429,"20.6%","21.4%",0.51,0.15
"Graves","Jungle",7,"9.1%","0.0%","9.1%","43%","-",16,18,41,3.2,"64.8%","17.3%","43%",35,222,4.1,5.1,"18.0%",382,"20.1%","21.3%",0.77,0.41
"Hecarim","Jungle",3,"3.9%","0.0%","3.9%","67%","-",6,4,19,6.3,"75.8%","12.9%","67%",-186,-138,-1.3,4.2,"14.0%",271,"17.3%","19.6%",0.34,0.44
"Irelia","Top",5,"6.5%","1.3%","7.8%","60%","-",22,20,12,1.7,"52.3%","31.3%","0%",-95,-342,-8,8,"26.8%",351,"18.8%","22.5%",0.49,0.09
"Jayce","Middle",4,"5.2%","27.3%","61.0%","50%","-",11,14,22,2.4,"60.0%","24.6%","50%",-26,-343,-2,7.7,"25.1%",581,"29.5%","21.8%",0.49,0.2
"Jayce","Top",22,"28.6%","27.3%","61.0%","59%","-",60,60,116,2.9,"62.6%","24.1%","27%",389,218,13.3,8.7,"28.2%",570,"26.4%","23.5%",0.51,0.12
"Jhin","ADC",39,"50.6%","15.6%","66.2%","62%","-",151,74,232,5.2,"66.7%","16.2%","26%",76,65,-1.2,8.2,"26.3%",632,"27.4%","22.6%",0.4,0.17
"Jinx","ADC",5,"6.5%","0.0%","6.5%","40%","-",12,8,21,4.1,"63.5%","11.8%","40%",-391,-308,-9,9.6,"32.5%",493,"23.6%","24.9%",0.43,0.27
"Karma","Middle",5,"6.5%","20.8%","75.3%","40%","-",10,16,28,2.4,"67.9%","25.0%","20%",-75,-90,-6.4,7.9,"25.1%",389,"19.8%","21.4%",0.48,0.15
"Karma","Support",37,"48.1%","20.8%","75.3%","46%","-",14,90,261,3.1,"68.2%","19.1%","24%",-44,-50,-2.2,0.8,"3.1%",187,"9.6%","11.2%",1.45,0.5
"Kassadin","-",0,"0%","5.2%","5.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
